"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.453544539E0,-7.982984185E-2,5.050563812E-2,-2.784657478E-1
3.463544539E0,-1.250125766E-1,3.430175781E-2,-2.572598457E-1
3.473544605E0,-6.349411607E-2,-1.046519279E-1,-3.146662712E-1
3.483544638E0,-1.464711130E-1,-4.235630035E-1,-3.313212395E-1
3.493544604E0,-3.920029998E-1,-4.027142525E-1,-3.267607689E-1
3.503544570E0,-5.138338804E-1,-2.862339020E-1,-2.868676186E-1
3.513544603E0,-4.848661721E-1,-2.644610405E-1,-2.676105499E-2
3.523544569E0,-4.484268725E-1,-2.053408623E-1,1.835098267E-1
3.533544569E0,-4.765065014E-1,-2.089400291E-1,1.887216568E-1
3.543544535E0,-1.309519112E-1,-2.552480698E-1,4.268956184E-1
3.553544535E0,4.927241802E-2,-5.392313004E-1,5.116987228E-1
3.563544568E0,1.975303888E-2,-5.516681671E-1,5.305452347E-1
3.573544501E0,-3.959263563E-1,-7.481989861E-1,4.884099960E-2
3.583544534E0,-7.257376313E-1,-5.923628807E-1,-2.391519547E-1
3.593544567E0,-7.681094408E-1,-4.319162369E-1,-4.894709587E-1
3.603544567E0,-7.772751451E-1,-2.770643234E-1,-4.788126945E-1
3.613544600E0,-5.825439692E-1,-1.930389404E-1,-2.529926300E-1
3.623543900E0,-6.301217675E-1,-2.156639099E-1,-2.149953842E-1
3.633543233E0,1.284676790E-2,-2.164182663E-1,1.226673126E-1
3.643542399E0,2.091184258E-2,-1.262655258E-1,1.069755554E-1
3.653541699E0,-1.351429522E-1,1.723251343E-1,1.109995842E-1
3.663541732E0,-1.711495221E-1,5.287609100E-1,2.322969437E-1
3.673540898E0,6.351315975E-2,8.022680283E-1,3.958063126E-1
3.683540764E0,3.111005425E-1,9.594326019E-1,3.883452415E-1
3.693540730E0,3.742013574E-1,9.726905823E-1,2.404799461E-1
3.703540696E0,4.688397050E-1,7.921571732E-1,6.399726868E-2
3.713540362E0,5.686169267E-1,5.145864487E-1,-6.177330017E-2
3.723539662E0,4.295067191E-1,3.107757568E-1,-1.066579819E-1
3.733539628E0,2.220469117E-1,2.939014435E-1,-1.245880127E-2
3.743539661E0,1.974102259E-1,2.820901871E-1,1.224565506E-2
3.753539727E0,5.037891865E-2,7.320814133E-1,3.087453842E-1
