"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.871025837E0,-2.341141105E-1,-9.926559869E-4,-1.414916664E-1
2.881025837E0,-1.968513280E-1,5.115996581E-3,-1.237765700E-1
2.891025903E0,-1.681406647E-1,3.283400787E-3,-1.207222417E-1
2.901025869E0,-1.553124934E-1,2.222022414E-2,-1.201113760E-1
2.911025869E0,-1.577559561E-1,5.032002553E-2,-1.182787865E-1
2.921026302E0,-1.675297916E-1,7.597636431E-2,-1.048397496E-1
2.931027002E0,-1.821905524E-1,7.841982692E-2,-8.834638447E-2
2.941026968E0,-2.072360367E-1,7.414376736E-2,-8.101600409E-2
2.951027601E0,-2.414444834E-1,1.260673106E-1,-6.879869848E-2
2.961028501E0,-2.548835278E-1,2.079232633E-1,-3.336851299E-2
2.971029401E0,-2.762638032E-1,2.928335369E-1,1.305724494E-2
2.981029334E0,-2.909245789E-1,3.630830348E-1,4.909829423E-2
2.991030034E0,-2.884811163E-1,4.034001231E-1,5.215261877E-2
3.001030734E0,-2.750420868E-1,4.088979363E-1,2.710714564E-2
3.011030734E0,-2.554943860E-1,3.667482138E-1,-5.879578181E-3
3.021030667E0,-2.286163121E-1,2.555707395E-1,-3.214678168E-2
3.031030600E0,-1.913535446E-1,1.016327068E-1,-5.902485549E-2
3.041030633E0,-1.510364264E-1,-4.986187443E-2,-1.017854214E-1
3.051030633E0,-8.200865984E-2,-2.276236564E-1,-1.585958898E-1
3.061030599E0,-3.924809024E-2,-2.935971022E-1,-1.604284793E-1
3.071030632E0,-1.664607786E-2,-3.125339448E-1,-1.237765700E-1
3.081030665E0,-1.237002108E-2,-2.838232517E-1,-7.002042979E-2
3.091030665E0,-1.786780916E-2,-2.215150148E-1,-1.443169173E-2
3.101030631E0,-1.603521220E-2,-1.518763751E-1,1.794416644E-2
3.111030664E0,-1.237002108E-2,-8.101600409E-2,3.260493279E-2
3.121030697E0,-3.313944116E-2,5.115996581E-3,5.337435007E-2
3.131030630E0,-7.467827946E-2,8.513934165E-2,8.819366992E-2
