"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.456917160E-1,1.400607944E0,6.933907509E0,7.283460617E0
6.476914430E-1,1.244984865E0,6.878840923E0,7.288249016E0
6.496920950E-1,1.086967587E0,6.818985939E0,7.283460617E0
6.516927200E-1,9.481038451E-1,6.761524677E0,7.276278019E0
6.536933200E-1,8.116343617E-1,6.680121899E0,7.269095421E0
6.556938960E-1,6.967126727E-1,6.603507519E0,7.266701221E0
6.576944140E-1,5.913678408E-1,6.524498940E0,7.276278019E0
6.596949140E-1,5.027823448E-1,6.447884560E0,7.293037415E0
6.616953960E-1,4.141969085E-1,6.366481781E0,7.328950882E0
6.636958620E-1,2.537853718E-1,6.249165535E0,7.501333237E0
6.656954620E-1,1.244984865E-1,6.155791759E0,7.640196800E0
6.676949280E-1,1.915361360E-2,6.079177380E0,7.759906769E0
6.696945610E-1,-5.985504389E-2,6.019322395E0,7.862857819E0
6.716938610E-1,-1.221042871E-1,5.971438408E0,7.944260597E0
6.736934610E-1,-1.723825186E-1,5.933131218E0,8.008903503E0
6.756940940E-1,-2.130839527E-1,5.902006626E0,8.061576843E0
6.776945940E-1,-2.370259613E-1,5.880458832E0,8.109460831E0
6.796944600E-1,-2.322375625E-1,5.861305237E0,8.147768021E0
6.816949600E-1,-1.891419291E-1,5.844545841E0,8.162133217E0
6.836949600E-1,-1.077390760E-1,5.832574844E0,8.150161743E0
6.856939600E-1,-1.915361360E-2,5.822998047E0,8.128614426E0
6.876944600E-1,9.816227108E-2,5.815814972E0,8.087912560E0
6.896947930E-1,2.322375625E-1,5.808632374E0,8.032846451E0
6.916950430E-1,3.567360640E-1,5.806238174E0,7.975385189E0
6.936952430E-1,4.932055473E-1,5.808632374E0,7.908347607E0
6.956942430E-1,6.344634295E-1,5.815814972E0,7.829339027E0
6.976943850E-1,7.613561153E-1,5.827786446E0,7.755118370E0
6.996945100E-1,8.882488012E-1,5.851728439E0,7.671321392E0
7.016946210E-1,1.012747288E0,5.885247231E0,7.570765018E0
7.036942210E-1,1.161187768E0,5.957073212E0,7.324162483E0
7.056918570E-1,1.280897856E0,6.014533997E0,7.127837658E0
7.076896900E-1,1.374271750E0,6.060023785E0,6.955455303E0
7.096876900E-1,1.446097851E0,6.095936775E0,6.807014942E0
7.116858320E-1,1.503558636E0,6.124667168E0,6.687304497E0
7.136840980E-1,1.544260144E0,6.151003361E0,6.584353924E0
7.156824100E-1,1.577778935E0,6.172551155E0,6.500556946E0
7.176824100E-1,1.599326730E0,6.191704750E0,6.423942566E0
7.196824650E-1,1.592144132E0,6.213252544E0,6.347328186E0
7.216825170E-1,1.556231141E0,6.237194538E0,6.280290127E0
7.236825170E-1,1.479616642E0,6.263530731E0,6.227617741E0
7.256825640E-1,1.362300754E0,6.297049522E0,6.184522152E0
7.276826090E-1,1.259350061E0,6.347328186E0,6.146214962E0
7.296821300E-1,1.180341482E0,6.385635376E0,6.127061367E0
7.316821710E-1,1.098938584E0,6.414365768E0,6.119878769E0
7.336822110E-1,9.983820915E-1,6.440701962E0,6.110301971E0
7.356822110E-1,9.002198577E-1,6.464643955E0,6.095936775E0
7.376822110E-1,7.805097699E-1,6.488585949E0,6.079177380E0
7.396822110E-1,6.488286853E-1,6.510133743E0,6.067206383E0
7.416822110E-1,5.267243981E-1,6.529287338E0,6.060023785E0
7.436822110E-1,2.992752194E-1,6.505345345E0,6.088754177E0
7.456813770E-1,1.173158810E-1,6.486191750E0,6.112696171E0
7.476804770E-1,-2.873042040E-2,6.452672958E0,6.131849766E0
7.496795770E-1,-1.436520964E-1,6.402394772E0,6.146214962E0
7.516786770E-1,-2.346317619E-1,6.361693382E0,6.155791759E0
7.536786100E-1,-3.064578176E-1,6.330568790E0,6.165368557E0
7.556779100E-1,-3.495534360E-1,6.273107529E0,6.167762756E0
7.576778760E-1,-3.567360640E-1,6.182127953E0,6.160580158E0
7.596778420E-1,-3.303998411E-1,6.050446987E0,6.160580158E0
7.616778080E-1,-3.184288144E-1,5.933131218E0,6.182127953E0
7.636779410E-1,-2.561795712E-1,5.811026573E0,6.230011940E0
7.656788070E-1,-1.197100878E-1,5.542876244E0,6.258742332E0
7.676794730E-1,4.548983276E-2,5.262754440E0,6.285078526E0
7.696803730E-1,2.106897533E-1,4.970662117E0,6.313809395E0
7.716812730E-1,2.968810201E-1,4.742913723E0,6.364087582E0
7.736821730E-1,2.561795712E-1,4.618414879E0,6.447884560E0
7.756831060E-1,1.604115069E-1,4.553771496E0,6.541258335E0
7.776831390E-1,-3.351882473E-2,4.572925091E0,6.672939301E0
7.796831390E-1,-2.873041928E-1,4.661510944E0,6.828562737E0
7.816831050E-1,-5.291185975E-1,4.764461517E0,6.979397297E0
7.836831050E-1,-8.762778044E-1,4.977844715E0,7.180510044E0
7.856822050E-1,-1.149216771E0,5.143044472E0,7.340921879E0
7.876813050E-1,-1.357512355E0,5.267542839E0,7.470208645E0
7.896808050E-1,-1.525106430E0,5.368099689E0,7.573159218E0
7.916799050E-1,-1.659181833E0,5.449502468E0,7.654561996E0
7.936795710E-1,-1.764526606E0,5.514145851E0,7.719205379E0
7.956786710E-1,-1.836352706E0,5.554847240E0,7.767089367E0
7.976787040E-1,-1.879448295E0,5.576395035E0,7.800608635E0
7.996787370E-1,-1.896207690E0,5.583577633E0,7.822156429E0
8.016787700E-1,-1.865083098E0,5.559635639E0,7.834127426E0
8.036787700E-1,-1.800439715E0,5.514145851E0,7.838915825E0
8.056777700E-1,-1.733402014E0,5.466261864E0,7.843704224E0
8.076777700E-1,-1.654393315E0,5.411195278E0,7.850886822E0
8.096777700E-1,-1.592144132E0,5.360917091E0,7.865252018E0
8.116777700E-1,-1.541865945E0,5.327397823E0,7.891588211E0
8.136775700E-1,-1.501164436E0,5.308244228E0,7.925107002E0
8.156774030E-1,-1.465251446E0,5.298667431E0,7.958625793E0
8.176772600E-1,-1.419761658E0,5.305850029E0,7.996932983E0
8.196756350E-1,-1.367089152E0,5.317821026E0,8.030451775E0
