"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.677700083E0,-8.854493480E-2,-1.934235549E-1,-1.047563767E-1
2.687653083E0,2.710802067E-2,-1.724188945E-1,6.043799043E-2
2.697607083E0,1.864061652E-1,-1.680334827E-1,2.154944551E-1
2.707560083E0,3.334311868E-1,-1.421449354E-1,4.241839206E-1
2.717514083E0,4.039576342E-1,-9.644455969E-2,4.897493345E-1
2.727467083E0,3.600801645E-1,-9.178579062E-2,4.788431078E-1
2.737421083E0,2.462200750E-1,-9.466671377E-2,4.685256958E-1
2.747374083E0,1.784412708E-1,-7.359159440E-2,4.011920840E-1
2.757328083E0,1.089216774E-1,-3.470761031E-2,3.088838446E-1
2.767282083E0,5.884784013E-2,-1.674934924E-3,1.147978002E-1
2.777235083E0,8.717993885E-2,1.104381162E-1,-9.637030005E-2
2.787189083E0,8.922069021E-2,2.082491702E-1,-2.822620565E-1
2.797142083E0,1.759471044E-2,2.830625403E-1,-4.076292837E-1
2.807096083E0,-6.514434122E-2,2.976738551E-1,-3.749948037E-1
2.817049083E0,-1.379643590E-1,2.417390978E-1,-2.439674717E-1
2.827003083E0,-2.290124502E-1,5.373854309E-2,-1.001148570E-1
2.836956083E0,-1.999415193E-1,-9.504619807E-2,2.725971937E-2
2.846909875E0,-9.306538068E-2,-1.230520222E-1,8.927470386E-2
2.856863875E0,4.936310817E-2,-1.134786683E-1,7.438243032E-2
2.866816875E0,1.812446452E-1,-2.553976089E-2,7.120212972E-2
2.876770875E0,1.748883564E-1,3.429888994E-2,9.935998142E-2
2.886723875E0,4.223505992E-2,1.128220260E-2,1.478936255E-1
2.896677875E0,-1.035628869E-1,-2.523716748E-2,2.537662357E-1
2.906630875E0,-1.908009325E-1,-3.053854555E-2,3.000083560E-1
2.916584875E0,-1.532869876E-1,-4.552817523E-2,2.512361455E-1
2.926537875E0,-7.323425643E-2,-4.383832991E-2,1.106796062E-1
2.936491875E0,-1.130453166E-2,-4.746711195E-2,-5.636598945E-2
2.946444875E0,2.603004992E-2,8.531087637E-4,-1.546407276E-1
2.956398875E0,3.240910638E-2,3.462633401E-2,-1.583782679E-1
2.966352875E0,1.001229700E-2,7.441546708E-2,-1.289311051E-1
2.976305875E0,-1.778295424E-2,1.287533498E-1,-1.336679345E-1
2.986259875E0,-7.589857679E-2,1.621774963E-1,-1.781804484E-1
