"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.666981000E0,-1.796264648E-1,2.196831665E0,9.470655670E0
3.676935000E0,-1.719923401E-1,2.183808746E0,9.514215088E0
3.686888000E0,-1.936972046E-1,2.191293182E0,9.561217346E0
3.696842000E0,-2.142045593E-1,2.173330536E0,9.595046997E0
3.706796000E0,-2.362088013E-1,2.151026917E0,9.569599915E0
3.716749000E0,-2.254312134E-1,2.164648590E0,9.563612366E0
3.726703000E0,-2.035766602E-1,2.160756683E0,9.556427307E0
3.736656000E0,-1.927990723E-1,2.188598785E0,9.554032288E0
3.746610000E0,-1.764830017E-1,2.190544739E0,9.535919952E0
3.756564000E0,-1.643582153E-1,2.183209991E0,9.531878357E0
3.766517000E0,-1.353186035E-1,2.184557190E0,9.545949097E0
3.776471000E0,-1.293310547E-1,2.189047852E0,9.578281860E0
3.786425000E0,-1.002914429E-1,2.176473999E0,9.609417114E0
3.796378000E0,-1.182540894E-1,2.158062286E0,9.624086609E0
3.806332000E0,-1.279838562E-1,2.180365906E0,9.620793457E0
3.816286000E0,-1.570234680E-1,2.190694427E0,9.584269409E0
3.826239000E0,-1.851649475E-1,2.189496918E0,9.514664154E0
3.836193000E0,-2.017803955E-1,2.199226685E0,9.454938354E0
3.846147000E0,-1.977388000E-1,2.215991821E0,9.458081818E0
3.856100000E0,-2.130070496E-1,2.204615479E0,9.462572479E0
3.866054000E0,-1.715432739E-1,2.195634155E0,9.497449951E0
3.876008000E0,-1.597178650E-1,2.178270264E0,9.549691315E0
3.885961000E0,-1.336720276E-1,2.159409485E0,9.618997192E0
3.895915000E0,-1.281335449E-1,2.144590302E0,9.637109528E0
3.905868750E0,-1.008901978E-1,2.162852325E0,9.627080383E0
3.915821750E0,-1.237925720E-1,2.184856567E0,9.558822327E0
3.925775750E0,-1.363664246E-1,2.202070770E0,9.527687073E0
3.935729750E0,-1.573228455E-1,2.210752716E0,9.501790924E0
3.945682750E0,-2.151026917E-1,2.234104156E0,9.496252441E0
3.955636750E0,-2.231858826E-1,2.237546997E0,9.502539368E0
3.965590750E0,-2.457888794E-1,2.228865051E0,9.520951080E0
3.975543750E0,-2.754272461E-1,2.225721588E0,9.558223572E0
3.985497750E0,-2.725831604E-1,2.222877502E0,9.588011627E0
3.995451750E0,-2.251318359E-1,2.204765167E0,9.585317230E0
